k,p,Silhouette Score,WCSS,BCSS
1,2,1.000000,46182266550081.937500,0.000000
2,2,0.456881,20584082661399.042969,258567514027.099670
3,2,0.513367,10387547364499.068359,361562820056.392578
4,2,0.356672,9086720253384.812500,374702487845.425415
5,2,0.368136,6261415148151.006836,403240923251.827637
6,2,0.417864,4569110347372.920898,420334911138.474976
7,2,0.375347,4260027199005.075684,423456963142.190552
8,2,0.357812,3991030743617.935059,426174099055.191895
9,2,0.376838,3615774154451.916504,429964569652.828613
10,2,0.422997,3163173472602.336426,434536293711.915161
11,2,0.453792,2902092000089.877441,437173480302.950134
12,2,0.438937,2840954927688.599609,437791026488.821655
13,2,0.398899,2848512776616.295898,437714684580.461121
14,2,0.432826,2178501077355.027100,444482479522.494019
15,2,0.371452,2170512158437.575928,444563175673.175293
16,2,0.345795,2089109840942.694336,445385421304.436768
17,2,0.330094,2051744966245.805420,445762844281.172974
18,2,0.269143,2040657126276.850586,445874842664.697815
19,2,0.255143,1884103005672.681641,447456197418.275269
20,2,0.229092,1862380545997.070557,447675616202.877441
